name,handedness,height,weight,avg,Scaled Avg_1,HR,Scaled HR_1,Performance_1
Jerry Zimmerman,R,74,185,0.204,0.622,3,0.0053,0.3136
Bryan Little,B,70,160,0.245,0.747,3,0.0053,0.3761
Winston Llenas,R,70,165,0.23,0.701,3,0.0053,0.3533
Mark Wagner,R,72,165,0.243,0.741,3,0.0053,0.3731
Rob Andrews,R,72,185,0.251,0.765,3,0.0053,0.3853
Mike Fischlin,R,73,165,0.22,0.671,3,0.0053,0.3380
Ron Brand,R,67,167,0.239,0.729,3,0.0053,0.3670
Skip Jutze,R,71,190,0.215,0.655,3,0.0053,0.3304
Jerry Dybzinski,R,74,180,0.234,0.713,3,0.0053,0.3594
Fritz Peterson,B,72,185,0.159,0.485,2,0.0036,0.2442
Jerry Koosman,R,74,205,0.119,0.363,2,0.0036,0.1832
Mike Ramsey,B,73,170,0.24,0.732,2,0.0036,0.3676
Angel Salazar,R,72,180,0.212,0.646,2,0.0036,0.3249
Al Downing,R,71,175,0.127,0.387,2,0.0036,0.1954
Mike Champion,R,72,185,0.229,0.698,2,0.0036,0.3509
Frank Taveras,R,72,155,0.255,0.777,2,0.0036,0.3905
Danny Ainge,R,76,175,0.22,0.671,2,0.0036,0.3371
Glenn Burke,R,72,195,0.237,0.723,2,0.0036,0.3631
Enzo Hernandez,R,68,155,0.224,0.683,2,0.0036,0.3432
Woodie Fryman,R,75,197,0.138,0.421,2,0.0036,0.2121
Ken Holtzman,R,74,175,0.163,0.497,2,0.0036,0.2503
Barry Evans,R,73,180,0.251,0.765,2,0.0036,0.3844
Ron Theobald,R,68,165,0.248,0.756,2,0.0036,0.3798
Mike Edwards,R,70,154,0.25,0.762,2,0.0036,0.3829
Jose Tartabull,L,71,165,0.261,0.796,2,0.0036,0.3996
Nate Oliver,R,70,160,0.226,0.689,2,0.0036,0.3463
Rick Peters,B,69,170,0.277,0.845,2,0.0036,0.4240
Sam McDowell,L,77,190,0.154,0.470,2,0.0036,0.2365
Rudy Meoli,L,69,165,0.212,0.646,2,0.0036,0.3249
Tom Lawless,R,71,170,0.207,0.631,2,0.0036,0.3173
Jack Perconte,L,70,160,0.27,0.823,2,0.0036,0.4134
Chico Ruiz,B,72,169,0.24,0.732,2,0.0036,0.3676
Gary Nolan,R,74,197,0.138,0.421,1,0.0018,0.2113
Dick Ruthven,R,75,190,0.183,0.558,1,0.0018,0.2799
Joe Niekro,R,73,185,0.156,0.476,1,0.0018,0.2387
Denny McLain,R,73,185,0.133,0.405,1,0.0018,0.2036
Jose Arcia,R,75,170,0.215,0.655,1,0.0018,0.3286
Bob Randall,R,74,175,0.257,0.784,1,0.0018,0.3927
Jerry Reuss,L,77,200,0.167,0.509,1,0.0018,0.2555
Woody Woodward,R,74,180,0.236,0.720,1,0.0018,0.3606
Joe Strain,R,70,169,0.25,0.762,1,0.0018,0.3820
Duane Kuiper,L,72,175,0.271,0.826,1,0.0018,0.4140
Brock Davis,L,70,160,0.26,0.793,1,0.0018,0.3972
Steve Blass,R,72,165,0.172,0.524,1,0.0018,0.2631
Don Wilson,R,74,195,0.146,0.445,1,0.0018,0.2234
Bob Heise,R,72,175,0.247,0.753,1,0.0018,0.3774
Bruce Miller,R,73,185,0.246,0.750,1,0.0018,0.3759
Ray Burris,R,77,200,0.151,0.460,1,0.0018,0.2311
Ray Culp,R,72,200,0.123,0.375,1,0.0018,0.1884
Mario Soto,R,72,174,0.132,0.402,1,0.0018,0.2021
Pepe Frias,R,70,159,0.24,0.732,1,0.0018,0.3667
Darrell Brown,B,72,184,0.274,0.835,1,0.0018,0.4186
Gil Garrido,R,69,150,0.237,0.723,1,0.0018,0.3622
Jim Barr,R,75,205,0.162,0.494,1,0.0018,0.2478
Tom Brown,R,73,170,0,0.000,0,0.0000,0.0000
Ozzie Osborn,R,74,195,0,0.000,0,0.0000,0.0000
John LaRose,L,73,185,0,0.000,0,0.0000,0.0000
Jeff Byrd,R,75,195,0,0.000,0,0.0000,0.0000
Jerry Kutzler,L,73,175,0,0.000,0,0.0000,0.0000
Jeff Barkley,B,75,185,0,0.000,0,0.0000,0.0000
Eric Wilkins,R,73,190,0,0.000,0,0.0000,0.0000
Britt Burns,L,77,215,0,0.000,0,0.0000,0.0000
Nardi Contreras,B,74,193,0,0.000,0,0.0000,0.0000
Jack Billingham,R,76,195,0.111,0.338,0,0.0000,0.1692
Gil Patterson,R,73,185,0,0.000,0,0.0000,0.0000
Jerry Garvin,L,75,195,0,0.000,0,0.0000,0.0000
Steve Eddy,R,74,185,0,0.000,0,0.0000,0.0000
Kevin Mmahat,L,77,220,0,0.000,0,0.0000,0.0000
Jim Siwy,R,76,200,0,0.000,0,0.0000,0.0000
Bud Anderson,R,75,210,0,0.000,0,0.0000,0.0000
Kevin Stanfield,L,72,190,0,0.000,0,0.0000,0.0000
John Butcher,R,76,185,0,0.000,0,0.0000,0.0000
Jerry Ujdur,R,73,195,0,0.000,0,0.0000,0.0000
Brian Denman,R,76,205,0,0.000,0,0.0000,0.0000
Bob Fallon,L,75,200,0,0.000,0,0.0000,0.0000
Steve Curry,R,78,217,0,0.000,0,0.0000,0.0000
Mickey Lolich,B,73,170,0.11,0.335,0,0.0000,0.1677
Ray Chadwick,B,74,180,0,0.000,0,0.0000,0.0000
Bryan Clutterbuck,R,76,223,0,0.000,0,0.0000,0.0000
Tony Ferreira,L,73,160,0,0.000,0,0.0000,0.0000
Bryan Oelkers,L,75,192,0,0.000,0,0.0000,0.0000
Kevin Bearse,L,74,195,0,0.000,0,0.0000,0.0000
Marty Martinez,B,72,170,0.243,0.741,0,0.0000,0.3704
Jose Roman,R,72,175,0,0.000,0,0.0000,0.0000
Mike Trujillo,R,73,180,0,0.000,0,0.0000,0.0000
Albert Williams,R,76,190,0,0.000,0,0.0000,0.0000
Oswaldo Peraza,R,76,172,0,0.000,0,0.0000,0.0000
Barry Cort,R,77,210,0,0.000,0,0.0000,0.0000
Bill Wilkinson,R,70,160,0,0.000,0,0.0000,0.0000
Mike Loynd,R,76,210,0,0.000,0,0.0000,0.0000
Randy Scarbery,B,73,185,0,0.000,0,0.0000,0.0000
Ben Callahan,R,79,230,0,0.000,0,0.0000,0.0000
Bobby Cuellar,R,71,188,0,0.000,0,0.0000,0.0000
Mike Jones,L,78,215,0,0.000,0,0.0000,0.0000
Ramon Manon,R,72,150,0,0.000,0,0.0000,0.0000
John Trautwein,R,75,205,0,0.000,0,0.0000,0.0000
Andy Replogle,R,77,205,0,0.000,0,0.0000,0.0000
Zach Crouch,L,75,180,0,0.000,0,0.0000,0.0000
Ron Romanick,R,76,195,0,0.000,0,0.0000,0.0000
Bruce Tanner,L,75,220,0,0.000,0,0.0000,0.0000
Dave Ford,R,76,190,0,0.000,0,0.0000,0.0000
Barry Raziano,B,70,175,0,0.000,0,0.0000,0.0000
Pat Underwood,L,72,175,0,0.000,0,0.0000,0.0000
Joel McKeon,L,72,185,0,0.000,0,0.0000,0.0000
Danny Fife,R,75,175,0,0.000,0,0.0000,0.0000
Bob Didier,B,72,190,0.229,0.698,0,0.0000,0.3491
Andy Beene,R,75,205,0,0.000,0,0.0000,0.0000
Bruce Robbins,L,73,190,0,0.000,0,0.0000,0.0000
Leon Hooten,R,71,180,0,0.000,0,0.0000,0.0000
Allan Ramirez,R,70,180,0,0.000,0,0.0000,0.0000
Brian Allard,R,73,175,0,0.000,0,0.0000,0.0000
Fernando Arroyo,R,74,180,0,0.000,0,0.0000,0.0000
Gary Beare,R,76,205,0,0.000,0,0.0000,0.0000
Brian Dubois,L,70,165,0,0.000,0,0.0000,0.0000
Chris Batton,R,76,195,0,0.000,0,0.0000,0.0000
Vance Lovelace,L,77,205,0,0.000,0,0.0000,0.0000
Greg Thayer,R,71,182,0,0.000,0,0.0000,0.0000
Paul Hartzell,R,77,200,0,0.000,0,0.0000,0.0000
Ralph Botting,L,72,195,0,0.000,0,0.0000,0.0000
Steve Rogers,R,74,175,0.138,0.421,0,0.0000,0.2104
Keith Creel,R,74,180,0,0.000,0,0.0000,0.0000
Mike Smith,R,75,180,0,0.000,0,0.0000,0.0000
T.R. Bryden,R,76,190,0,0.000,0,0.0000,0.0000
Tom Makowski,R,71,185,0,0.000,0,0.0000,0.0000
Ed Crosby,L,74,175,0.22,0.671,0,0.0000,0.3354
Jim Umbarger,L,78,200,0,0.000,0,0.0000,0.0000
Mike Darr,R,76,190,0,0.000,0,0.0000,0.0000
Craig Robinson,R,70,165,0.219,0.668,0,0.0000,0.3338
Curt Wardle,L,77,220,0,0.000,0,0.0000,0.0000
Israel Sanchez,L,69,170,0,0.000,0,0.0000,0.0000
Steve Burke,B,74,200,0,0.000,0,0.0000,0.0000
Terry Taylor,R,73,180,0,0.000,0,0.0000,0.0000
Randy Nosek,R,76,215,0,0.000,0,0.0000,0.0000
Narciso Elvira,L,70,160,0,0.000,0,0.0000,0.0000
Mark Smith,R,74,215,0,0.000,0,0.0000,0.0000
Paul Mitchell,R,73,195,0,0.000,0,0.0000,0.0000
Butch Edge,R,75,203,0,0.000,0,0.0000,0.0000
Gary Mielke,R,75,185,0,0.000,0,0.0000,0.0000
Rick Henninger,R,78,225,0,0.000,0,0.0000,0.0000
Mark Brown,B,74,190,0,0.000,0,0.0000,0.0000
Rafael Vasquez,R,72,160,0,0.000,0,0.0000,0.0000
Len Whitehouse,L,71,175,0,0.000,0,0.0000,0.0000
Steve Adkins,R,78,210,0,0.000,0,0.0000,0.0000
Joe Horlen,R,72,170,0.134,0.409,0,0.0000,0.2043
Tony Mack,R,70,177,0,0.000,0,0.0000,0.0000
Bill Moran,R,76,210,0,0.000,0,0.0000,0.0000
Cesar Gutierrez,R,69,155,0.235,0.716,0,0.0000,0.3582
Tom Gilles,R,73,185,0,0.000,0,0.0000,0.0000
Bob Kammeyer,R,76,210,0,0.000,0,0.0000,0.0000
Joe Pactwa,L,71,185,0,0.000,0,0.0000,0.0000
Sherman Corbett,L,76,205,0,0.000,0,0.0000,0.0000
Lafayette Currence,B,71,175,0,0.000,0,0.0000,0.0000
John Pawlowski,R,74,175,0,0.000,0,0.0000,0.0000
Jack Hardy,R,74,175,0,0.000,0,0.0000,0.0000
Ron Musselman,R,74,185,0,0.000,0,0.0000,0.0000
Tony Chevez,R,71,177,0,0.000,0,0.0000,0.0000
Gary Ignasiak,R,71,185,0,0.000,0,0.0000,0.0000
Mike Smithson,L,80,215,0,0.000,0,0.0000,0.0000
Joe Skalski,R,75,190,0,0.000,0,0.0000,0.0000
Bert Bradley,B,73,190,0,0.000,0,0.0000,0.0000
Francisco Barrios,R,71,155,0,0.000,0,0.0000,0.0000
Reggie Ritter,L,74,195,0,0.000,0,0.0000,0.0000
Bob Babcock,R,77,210,0,0.000,0,0.0000,0.0000
Craig Eaton,R,71,175,0,0.000,0,0.0000,0.0000
Roy Branch,R,72,175,0,0.000,0,0.0000,0.0000
Rob Woodward,R,75,185,0,0.000,0,0.0000,0.0000
Fred Norman,B,68,155,0.125,0.381,0,0.0000,0.1905
Randy Jones,R,72,178,0.132,0.402,0,0.0000,0.2012
Bob Veselic,R,72,175,0,0.000,0,0.0000,0.0000
Chuck Hockenbery,B,73,195,0,0.000,0,0.0000,0.0000
Bob Ferris,R,78,225,0,0.000,0,0.0000,0.0000
Gary Wheelock,R,75,205,0,0.000,0,0.0000,0.0000
Mike Rochford,L,76,205,0,0.000,0,0.0000,0.0000
Jeff Schneider,B,75,195,0,0.000,0,0.0000,0.0000
Luis Encarnacion,R,70,178,0,0.000,0,0.0000,0.0000
Rick Kreuger,R,74,185,0,0.000,0,0.0000,0.0000
Angel Moreno,L,69,165,0,0.000,0,0.0000,0.0000
Roger Weaver,R,75,190,0,0.000,0,0.0000,0.0000
Chris Knapp,R,77,195,0,0.000,0,0.0000,0.0000
Don Welchel,R,76,205,0,0.000,0,0.0000,0.0000
Randy Wiles,L,73,185,0,0.000,0,0.0000,0.0000
Larry Lintz,B,69,150,0.227,0.692,0,0.0000,0.3460
Dewey Robinson,R,72,180,0,0.000,0,0.0000,0.0000
Tony Arnold,R,71,170,0,0.000,0,0.0000,0.0000
Jeff Schattinger,L,77,200,0,0.000,0,0.0000,0.0000
Ike Brookens,R,77,170,0,0.000,0,0.0000,0.0000
Win Remmerswaal,R,74,160,0,0.000,0,0.0000,0.0000
Jeff Peterek,R,74,195,0,0.000,0,0.0000,0.0000
Jeff Shaver,R,75,195,0,0.000,0,0.0000,0.0000
Tim Johnson,L,73,170,0.223,0.680,0,0.0000,0.3399
Pete Filson,B,74,195,0,0.000,0,0.0000,0.0000
Jim Gideon,R,75,190,0,0.000,0,0.0000,0.0000
Jeff Twitty,L,74,185,0,0.000,0,0.0000,0.0000
Steve Cummings,B,74,200,0,0.000,0,0.0000,0.0000
Jose Cecena,R,71,180,0,0.000,0,0.0000,0.0000
Greg Erardi,R,73,190,0,0.000,0,0.0000,0.0000
Jim Farr,R,73,195,0,0.000,0,0.0000,0.0000
Frank Dimichele,R,75,205,0,0.000,0,0.0000,0.0000
Bob Veale,B,78,212,0.114,0.348,0,0.0000,0.1738
Mike Warren,R,73,175,0,0.000,0,0.0000,0.0000
Bill Fulton,R,75,195,0,0.000,0,0.0000,0.0000
Larry Anderson,R,75,190,0,0.000,0,0.0000,0.0000
Craig Mitchell,R,75,180,0,0.000,0,0.0000,0.0000
Alfredo Martinez,R,75,185,0,0.000,0,0.0000,0.0000
Dean Chance,R,75,200,0.066,0.201,0,0.0000,0.1006
Joel Davis,L,77,205,0,0.000,0,0.0000,0.0000
Bill Mooneyham,R,72,175,0,0.000,0,0.0000,0.0000
John Hobbs,R,75,190,0,0.000,0,0.0000,0.0000
John Denny,R,75,185,0.17,0.518,0,0.0000,0.2591
Karl Best,R,76,190,0,0.000,0,0.0000,0.0000
Steve Barr,L,76,200,0,0.000,0,0.0000,0.0000
Luis Sanchez,R,74,170,0,0.000,0,0.0000,0.0000
Mike Brown,R,74,195,0,0.000,0,0.0000,0.0000
Steve Davis,L,73,195,0,0.000,0,0.0000,0.0000
Jeff Rineer,L,76,205,0,0.000,0,0.0000,0.0000
Mark Mercer,L,77,220,0,0.000,0,0.0000,0.0000
John Caneira,R,75,180,0,0.000,0,0.0000,0.0000
Clint Zavaras,R,73,175,0,0.000,0,0.0000,0.0000
Mike Parrott,R,76,210,0,0.000,0,0.0000,0.0000
Luis Aponte,R,72,185,0,0.000,0,0.0000,0.0000
Paul Boris,R,74,200,0,0.000,0,0.0000,0.0000
De Wayne Buice,R,72,170,0,0.000,0,0.0000,0.0000
Mark Esser,R,73,190,0,0.000,0,0.0000,0.0000
Daryl Smith,R,76,185,0,0.000,0,0.0000,0.0000
Dave Smith,R,73,190,0,0.000,0,0.0000,0.0000
Dave Stapleton,L,73,185,0,0.000,0,0.0000,0.0000
Tom Klawitter,R,74,190,0,0.000,0,0.0000,0.0000
Gary Christenson,L,77,200,0,0.000,0,0.0000,0.0000
Jim Wright,R,77,205,0,0.000,0,0.0000,0.0000
Jim Wright,R,73,165,0,0.000,0,0.0000,0.0000
Mike Kinnunen,L,73,185,0,0.000,0,0.0000,0.0000
Dave Rajsich,L,77,175,0,0.000,0,0.0000,0.0000
Ramon Pena,R,70,155,0,0.000,0,0.0000,0.0000
Chico Escarrega,R,71,185,0,0.000,0,0.0000,0.0000
Cardell Camper,R,75,208,0,0.000,0,0.0000,0.0000
Mike Overy,R,74,190,0,0.000,0,0.0000,0.0000
Craig Chamberlain,R,73,190,0,0.000,0,0.0000,0.0000
Frank Eufemia,R,71,185,0,0.000,0,0.0000,0.0000
Jack Lazorko,R,71,200,0,0.000,0,0.0000,0.0000
Mike Paxton,R,71,190,0,0.000,0,0.0000,0.0000
Rickey Keeton,R,74,190,0,0.000,0,0.0000,0.0000
Terry Felton,R,73,180,0,0.000,0,0.0000,0.0000
Mark Clear,R,76,200,0,0.000,0,0.0000,0.0000
Mike Pazik,L,74,195,0,0.000,0,0.0000,0.0000
Rich Barnes,R,76,186,0,0.000,0,0.0000,0.0000
Dave Frost,R,78,235,0,0.000,0,0.0000,0.0000
Mark Souza,L,72,180,0,0.000,0,0.0000,0.0000
Rick Jones,L,77,190,0,0.000,0,0.0000,0.0000
Jim Dorsey,R,79,190,0,0.000,0,0.0000,0.0000
Mark Ciardi,R,72,180,0,0.000,0,0.0000,0.0000
Dennis Burtt,R,72,180,0,0.000,0,0.0000,0.0000
Rich Yett,R,74,187,0,0.000,0,0.0000,0.0000
Matt Williams,R,73,200,0,0.000,0,0.0000,0.0000
Jim Burton,R,75,195,0,0.000,0,0.0000,0.0000
Rick Anderson,R,74,210,0,0.000,0,0.0000,0.0000
Charlie Mitchell,R,75,170,0,0.000,0,0.0000,0.0000
Bill Paschall,R,72,175,0,0.000,0,0.0000,0.0000
John Bohnet,B,72,175,0,0.000,0,0.0000,0.0000
Byron McLaughlin,R,73,175,0,0.000,0,0.0000,0.0000
Luis Quintana,L,74,175,0,0.000,0,0.0000,0.0000
Keith Macwhorter,R,76,190,0,0.000,0,0.0000,0.0000
Jaime Cocanower,R,76,200,0,0.000,0,0.0000,0.0000
Jeff Sellers,R,73,175,0,0.000,0,0.0000,0.0000
Steve Senteney,R,74,205,0,0.000,0,0.0000,0.0000
Howard Bailey,R,72,195,0,0.000,0,0.0000,0.0000
Jeff Bettendorf,R,75,180,0,0.000,0,0.0000,0.0000
Bob Davidson,R,72,185,0,0.000,0,0.0000,0.0000
Brian Snyder,L,75,185,0,0.000,0,0.0000,0.0000
Carlos Velazquez,R,71,180,0,0.000,0,0.0000,0.0000
Roger Miller,R,75,200,0,0.000,0,0.0000,0.0000
Willie Mueller,R,76,220,0,0.000,0,0.0000,0.0000
John Flinn,R,72,175,0,0.000,0,0.0000,0.0000
Les Straker,R,73,193,0,0.000,0,0.0000,0.0000
Don Kainer,R,75,205,0,0.000,0,0.0000,0.0000
Don Gordon,R,73,175,0,0.000,0,0.0000,0.0000
Sandy Wihtol,R,73,195,0,0.000,0,0.0000,0.0000
Jeff Richardson,R,75,185,0,0.000,0,0.0000,0.0000
Dennis DeBarr,L,74,190,0,0.000,0,0.0000,0.0000
Jay Pettibone,R,76,182,0,0.000,0,0.0000,0.0000
Glen Cook,R,71,180,0,0.000,0,0.0000,0.0000
Bill Castro,R,71,170,0,0.000,0,0.0000,0.0000
Ed Hodge,L,74,192,0,0.000,0,0.0000,0.0000
Tom Buskey,R,75,200,0,0.000,0,0.0000,0.0000
Bruce Taylor,R,72,178,0,0.000,0,0.0000,0.0000
Stan Thomas,R,74,185,0,0.000,0,0.0000,0.0000
Larry Monroe,R,76,200,0,0.000,0,0.0000,0.0000
Roger Slagle,R,75,190,0,0.000,0,0.0000,0.0000
Jim Campbell,L,71,175,0,0.000,0,0.0000,0.0000
Curt Kaufman,R,74,175,0,0.000,0,0.0000,0.0000
De Wayne Vaughn,R,71,180,0,0.000,0,0.0000,0.0000
Bob Galasso,L,73,205,0,0.000,0,0.0000,0.0000
Rich Wortham,R,72,185,0,0.000,0,0.0000,0.0000
Juan Nieves,L,75,175,0,0.000,0,0.0000,0.0000
Mike Bacsik,R,74,180,0,0.000,0,0.0000,0.0000
Phil Huffman,R,74,180,0,0.000,0,0.0000,0.0000
Steve Brown,R,77,200,0,0.000,0,0.0000,0.0000
Rick Lysander,R,74,190,0,0.000,0,0.0000,0.0000
Mel Stottlemyre,R,72,190,0,0.000,0,0.0000,0.0000
Alex Sanchez,R,74,185,0,0.000,0,0.0000,0.0000
Paul Wilmet,R,71,170,0,0.000,0,0.0000,0.0000
Bruce Ellingsen,L,72,180,0,0.000,0,0.0000,0.0000
Gorman Heimueller,L,76,195,0,0.000,0,0.0000,0.0000
Ron Reed,R,78,215,0.158,0.482,0,0.0000,0.2409
Fred Howard,R,75,190,0,0.000,0,0.0000,0.0000
John Hoover,R,74,190,0,0.000,0,0.0000,0.0000
Mike Walters,R,77,203,0,0.000,0,0.0000,0.0000
Colby Ward,R,74,185,0,0.000,0,0.0000,0.0000
Chuck Porter,R,75,187,0,0.000,0,0.0000,0.0000
Tom Dozier,R,74,190,0,0.000,0,0.0000,0.0000
Rick Steirer,R,76,200,0,0.000,0,0.0000,0.0000
Al Lachowicz,R,75,198,0,0.000,0,0.0000,0.0000
Tom McCarthy,R,72,180,0,0.000,0,0.0000,0.0000
Jim Lewis,R,75,190,0,0.000,0,0.0000,0.0000
Dan Morogiello,L,73,200,0,0.000,0,0.0000,0.0000
Shawn Holman,R,74,185,0,0.000,0,0.0000,0.0000
Alan Wirth,R,76,190,0,0.000,0,0.0000,0.0000
Terry Wilshusen,R,74,210,0,0.000,0,0.0000,0.0000
Steve Ellsworth,R,80,220,0,0.000,0,0.0000,0.0000
Bryan Kelly,R,74,195,0,0.000,0,0.0000,0.0000
Mick Kelleher,R,69,176,0.213,0.649,0,0.0000,0.3247
Don Sutton,R,73,185,0.144,0.439,0,0.0000,0.2195
John Leister,R,74,200,0,0.000,0,0.0000,0.0000
Don Cooper,R,73,185,0,0.000,0,0.0000,0.0000
Jeff Jones,R,75,210,0,0.000,0,0.0000,0.0000
John Poloni,L,77,210,0,0.000,0,0.0000,0.0000
Mike Willis,L,74,205,0,0.000,0,0.0000,0.0000
Stefan Wever,R,80,245,0,0.000,0,0.0000,0.0000
Dave Johnson,R,73,183,0,0.000,0,0.0000,0.0000
Jerry Augustine,L,72,183,0,0.000,0,0.0000,0.0000
Jeff Holly,L,77,210,0,0.000,0,0.0000,0.0000
Eric Hetzel,R,75,175,0,0.000,0,0.0000,0.0000
Luis Gomez,R,69,150,0.21,0.640,0,0.0000,0.3201
Dave Lemanczyk,R,76,235,0,0.000,0,0.0000,0.0000
Al Jones,R,76,210,0,0.000,0,0.0000,0.0000
Sam Hinds,R,78,215,0,0.000,0,0.0000,0.0000
Clay Christiansen,R,77,205,0,0.000,0,0.0000,0.0000
Larry Rothschild,L,74,180,0,0.000,0,0.0000,0.0000
Gary Lance,B,75,195,0,0.000,0,0.0000,0.0000
Larry Pashnick,R,75,205,0,0.000,0,0.0000,0.0000
Todd Fischer,R,70,170,0,0.000,0,0.0000,0.0000
